gene1,gene2,gene1_coef,gene2_coef,interaction_coef,gene1_pval,gene2_pval,interaction_pval,roc_auc,aic,bic,model_type,converged,lspc_coverage,hspc_coverage,specificity_ratio,lspc_n_both,hspc_n_both,mean_gene1_lspc,mean_gene1_hspc,mean_gene2_lspc,mean_gene2_hspc,corr_gene1_gene2_lspc,corr_gene1_gene2_hspc,anchor_lspc_coverage,anchor_specificity,efficacy_retention,specificity_gain,interaction_qval
IL2RG,CD47,0.18311130537624679,0.15447997019517518,0.0012994529572452438,1.4558536846623093e-06,1.1305658920781924e-07,0.6937052562394622,0.7530846087106702,26342.762541660704,26374.75973209023,logit_clustered,True,0.34988603060892215,0.09345121825845584,3.7400478275150295,4298,909,3.2614125380382064,1.1232429413124327,5.571593555278139,3.257669768109533,0.08309648095528217,0.08170612419405415,0.44513187886681865,2.713370009868571,0.7842659249046217,1.0266778176464584,0.7283905190514354
EMB,PLP2,0.2546592583562724,0.11393750687886182,0.0028571033175518283,8.727730741323985e-19,0.01855315311408709,0.3644635180243908,0.7774642606391209,24672.017658984892,24704.01484941442,logit_clustered,True,0.3827743406056659,0.07587128611082554,5.038408064426889,4702,738,4.532162607033113,1.1849952348860404,4.441815715835201,2.5054910403707304,0.0863648318703337,0.07102348908845715,0.5970367958319766,3.526617899055299,0.6400514872553252,1.5117901653715902,0.46386265930377013
EMB,HCST,0.24488863609164807,0.1653148139891587,0.0038584040681977757,1.741642987021045e-18,0.005096733626458087,0.2981564423563169,0.7989428309153803,23663.286944649968,23695.284135079495,logit_clustered,True,0.42478020188863563,0.06579623727768068,6.446198135694015,5218,640,4.532162607033113,1.1849952348860404,5.145167474247747,2.3321667821951904,0.1112658573087801,0.05619809722927052,0.5970367958319766,3.526617899055299,0.7102910804972964,2.919580236638716,0.43181277858501066
EMB,LY6E,0.24934869387999092,-0.030157370509210277,0.0072163588162104724,7.690101572316408e-16,0.4771363037312025,0.025737056916023064,0.7362893846690657,25464.231923757783,25496.22911418731,logit_clustered,True,0.3413383262780853,0.09869435591652102,3.4550387328453094,4193,960,4.532162607033113,1.1849952348860404,4.036116910117568,4.093747077160479,0.05475469763009018,-0.005407057908490504,0.5970367958319766,3.526617899055299,0.5707647567123733,-0.07157916620998961,0.07584407932798669
EMB,GNPTAB,0.2585606453534234,0.13835745724309573,0.0028449846333043548,2.8143647331600343e-21,1.2093199088963664e-07,0.24019521031030167,0.7760355632907319,24460.26044294086,24492.257633370387,logit_clustered,True,0.3228590035818951,0.04986121106199239,6.462193303947101,3966,485,4.532162607033113,1.1849952348860404,3.603005972034138,1.6336853817081083,0.09018940290720139,0.05127397496328308,0.5970367958319766,3.526617899055299,0.5398647806156146,2.9355754048918024,0.3736369938160248
EMB,TM9SF2,0.2579972341017444,0.0921501121757319,0.0050813892845515286,1.1545973186397183e-20,0.0014674073057975607,0.021739173322912572,0.7625209199421645,24958.302363966053,24990.29955439558,logit_clustered,True,0.304379680885705,0.053459442788115555,5.683025532768324,3739,520,4.532162607033113,1.1849952348860404,3.37230840631243,1.9316553530618656,0.07732553013862796,0.025430668997307518,0.5970367958319766,3.526617899055299,0.5089648045188561,2.1564076337130254,0.07234033802347993
EMB,ITM2C,0.2822953611152428,-0.0018149004496641492,-0.0012190673079471397,4.292225487542428e-22,0.9462075353988388,0.682012541369023,0.7281742732574537,25512.88306156463,25544.880251994156,logit_clustered,True,0.31097362422663627,0.0987971625372674,3.144414018040731,3820,961,4.532162607033113,1.1849952348860404,3.722108980667944,3.690534824658928,-0.0006569596573137545,0.0462315622597672,0.5970367958319766,3.526617899055299,0.5199907871789329,-0.38220388101456804,0.7283905190514354
EMB,CD47,0.24139012096401208,0.134545784873344,0.00414423068857808,1.971860542796886e-16,4.783761023872947e-06,0.08293234651495264,0.7946452396601095,24307.47215903048,24339.469349460007,logit_clustered,True,0.4654835558450016,0.0940680579829341,4.9431151689393475,5718,915,4.532162607033113,1.1849952348860404,5.571593555278139,3.257669768109533,0.12631717646868276,0.0758420832526992,0.5970367958319766,3.526617899055299,0.7783527018557954,1.4164972698840486,0.17415792768140057
EMB,ACTN4,0.26400516448391864,0.033292894991610957,0.003211211569953022,9.431950210905679e-21,0.4051016157101631,0.3388399418889102,0.7480322750857444,25419.543637192928,25451.540827622455,logit_clustered,True,0.3088570498209052,0.07720777218052842,3.995161690853864,3794,751,4.532162607033113,1.1849952348860404,3.4118023129088626,2.6191824198661697,0.08130179184217112,0.05885201097102324,0.5970367958319766,3.526617899055299,0.516451582868291,0.46854379179856487,0.4590734696559428
EMB,SSR3,0.259567077193182,0.043599485137302094,0.004071245116676784,3.260173600925181e-19,0.17916933432227122,0.14358433280640404,0.7519671014126887,25351.718087395355,25383.715277824882,logit_clustered,True,0.33205796157603384,0.07916109797470958,4.189419148369431,4079,770,4.532162607033113,1.1849952348860404,3.6915331383241914,2.729234223403552,0.08889534622849436,0.05204846688848593,0.5970367958319766,3.526617899055299,0.5552467070426353,0.6628012493141324,0.2714256892013095
