gene,lspc_pct,hspc_pct,log2FC,padj
INHBA,3.231846304135461,1.305644083478976,,
INSL3,0.4395962227287529,0.5551557520304308,,
INSR,5.836860957342885,7.617970597306466,-0.4133987299765415,0.3763254829267217
INTS12,12.05633344187561,13.303176724581062,-0.0578082077216721,0.8633506035810528
ISLR2,0.2767828069032888,0.0,,
ITFG1,22.158905893845652,18.21733319625784,0.1591370282844728,0.5513765625179267
ITGA1,0.2360794529469228,0.1439292690449265,,
ITGA10,0.5047215890589385,0.22617456564202734,,
ITGA11,0.4721589058938456,0.1439292690449265,,
ITGA2,2.352653858677955,2.251464994345636,,
ITGA2B,4.314555519374797,4.544052636989822,,
ITGA3,1.9374796483230219,0.4729104554333299,,
ITGA4,52.76782806903289,56.01932764470032,-0.2309668666740355,0.4853744758453415
ITGA5,27.39335721263432,18.392104451526677,0.2397748659519579,0.4254283609542018
ITGA6,22.313578638879843,11.442376889071657,-0.1553622457358105,0.7390408847937817
ITGA7,0.18723542819928363,0.3598231726123162,,
ITGA9,6.675350048844025,9.66382235015935,-0.1713392014384069,0.7556235194059628
ITGAE,32.318463041354605,24.899763544772284,0.0821948035687259,0.794815382328357
ITGAL,9.97232171930967,6.096432610260101,0.2201018412023304,0.7498378374788586
ITGAM,6.1787691305763595,0.966382235015935,,
ITGAV,13.961250407033539,14.680785442582502,-0.0300086055191286,0.9634804727337628
ITGAX,7.8150439596222725,1.6654672560912922,1.573891630772566,0.0038026645656282
ITGB1,43.53630739172908,31.82892978307803,0.1745118938933652,0.4036768681258835
ITGB2,40.752197981113646,22.617456564202733,0.5722330504562879,0.0700023190409837
ITGB3,0.08954737870400521,0.041122648298550425,,
ITGB4,0.4558775643112993,0.8430142901202837,,
ITGB5,1.4490394008466299,0.31870052431376583,,
ITGB7,7.37544773689352,1.2131181248072376,0.7475533805843347,0.3554163679819518
ITGB8,2.5805926408336046,1.9224838079572324,,
ITM2A,37.7889938130902,45.923717487406186,0.1377549492738163,0.7539795647194715
ITM2B,81.70791273200912,80.68263596175593,0.1856654232174888,0.2816376630312091
ITM2C,50.10582872028655,50.580857407217025,0.2771747537177934,0.3492335119601744
ITPR1,33.02670140019538,36.58887632363524,-0.1998819990673969,0.4919164759110133
ITPR3,0.9850211657440573,1.387889380076077,,
ITPRIP,3.5086291110387497,9.232034543024572,,
JAG1,9.882774340605666,6.086151948185464,0.1076501102951455,0.9292260167822872
JAM2,0.5291436014327581,2.1280970494499845,,
JAM3,4.176164115923152,4.359000719646345,,
KCNA3,1.0827092152393358,3.8758096021383777,,
KCNE3,10.721263432106806,3.474863781227511,1.0081641535717425,0.0440884598264111
KCNIP2,0.41517421035493324,0.3289811863884034,,
KCNIP4,0.07326603712145881,0.1644905931942017,,
KCNK17,13.93682839465972,6.528220417394881,-0.3531988527886003,0.6741501008953614
KCNK5,5.462390100944318,2.4982008841369385,,
KCNMB1,3.5900358189514816,1.4701346766731778,,
KCNMB3,2.4503419081732334,1.1925568006579623,,
KCNMB4,2.1247150765223055,3.8038449676159143,,
KEL,0.17095408661673722,0.07196463452246325,,
KIAA0319L,15.76847932269619,13.334018710804976,-0.0701026176000954,0.8674035015133661
KIAA1324,0.24422012373819602,0.13364860697028888,,
KIAA1549,5.299576685118854,4.420684692094171,-0.198427293183565,0.7556235194059628
KIDINS220,28.573754477368936,21.486583735992596,0.1008581798550975,0.7498378374788586
KIR2DL1,0.0081406707912732,0.010280662074637606,,
KIR2DL3,0.0,0.010280662074637606,,
KIR2DL4,0.07326603712145881,0.03084198622391282,,
KIR3DL2,0.0162813415825464,0.03084198622391282,,
KIRREL3,0.10582872028655162,0.05140331037318804,,
KISS1R,0.18723542819928363,0.2775778760152154,,
KIT,17.5268642136112,22.535211267605632,-0.0583240574442624,0.9307017738496834
KLRB1,0.34190817323347444,0.20561324149275215,,
KLRC1,0.0325626831650928,0.020561324149275213,,
KLRC2,0.0325626831650928,0.010280662074637606,,
KLRC3,0.040703353956366005,0.020561324149275213,,
KLRD1,0.5535656138065776,0.23645522771666494,,
KLRF1,0.2605014653207424,0.22617456564202734,,
KLRG1,8.222077499185932,5.160892361468078,0.5542204504966217,0.4112189312174272
KLRK1,0.11396939107782482,0.12336794489565128,,
KREMEN1,0.35818951481602085,0.20561324149275215,,
L1CAM,0.12211006186909801,0.0,,
LAG3,2.9143601432758057,7.5254446386347285,,
LAIR1,37.91924454575057,31.62331654158528,-0.2107187413735482,0.5211675255724808
LAMA2,0.1302507326603712,0.1439292690449265,,
LAMA5,8.238358840768479,1.408450704225352,,
LAMB3,0.08954737870400521,0.020561324149275213,,
LAMP1,38.43210680560078,21.91837154312738,0.1178190627662838,0.5243283517089661
LAMP2,51.212959947899705,32.795312018093966,0.11668106932087,0.5979487295645878
LAMP3,0.07326603712145881,0.19533257941811452,,
LAYN,0.9850211657440573,1.6860285802405675,,
LCK,1.3025073266037122,0.760768993523183,,
LCN2,0.11396939107782482,0.09252595867173846,,
LCT,7.106805600781504,0.760768993523183,,
LDLR,10.688700748941713,18.011719954765088,-0.1520152913894138,0.844003406200964
LDLRAD3,0.6186909801367633,1.2439601110311505,,
LDLRAD4,7.790621947248454,7.371234707515164,-0.5769200871189027,0.1675117310276233
LEMD2,7.131227613155324,5.2328569959905415,-0.2560723774278469,0.4853744758453415
LEPR,4.444806252035168,1.93276447003187,,
LGALS3,3.598176489742755,1.2748020972550633,,
LGALS3BP,28.883099967437317,4.0711421815564925,0.3789784294210627,0.6477234984156389
LGALS9,45.66102246825138,43.44607792741853,0.1730735832231441,0.4803254939511701
LGMN,0.5535656138065776,0.7916109797470957,,
LGR4,0.41517421035493324,0.37010383468695385,,
LGR6,0.07326603712145881,0.12336794489565128,,
LHFPL5,1.465320742429176,3.423460470854323,,
LIF,1.0664278736567894,0.5654364141050684,,
LILRA1,1.7583848909150115,0.34954251053767865,,
LILRA2,2.5236079452946925,2.3542716150920118,,
LILRA4,0.08954737870400521,0.041122648298550425,,
LILRA5,0.18723542819928363,0.041122648298550425,,
LILRA6,0.18723542819928363,0.041122648298550425,,
LILRB1,0.732660371214588,0.4523491312840547,,
LILRB2,5.649625529143601,1.5832219594941914,0.1898326478667287,0.8417289173898816
LILRB3,1.8316509280364701,0.7299270072992701,,
LILRB4,0.21165744057310323,0.11308728282101367,,
LILRB5,0.05698469553891241,0.020561324149275213,,
LINGO3,0.61055030934549,0.8532949521949214,,
LIPA,23.07066102246825,20.890305335663616,0.3606131377958766,0.2600973263785414
LMAN2,40.21491370888961,38.34686953839827,0.0480668386606204,0.8612439322353802
LMAN2L,5.11234125691957,5.202015009766629,-0.0440935000981947,0.943879351649791
LMBR1,14.962552914360144,17.847229361570886,-0.0638331038543232,0.8834579790588238
LMBR1L,18.21068056007815,17.734142078749873,-0.2241466225038242,0.4646741738493615
LMBRD1,19.88765874308043,21.537987046365785,-0.2300174702563285,0.4646741738493615
LMBRD2,6.821882123086942,4.698262568109386,0.1772160509509643,0.7498378374788586
LMF2,15.79290133507001,12.737740310475994,-0.0644060055978897,0.8612439322353802
LMNA,37.86225985021166,41.34882286419246,0.569563111807492,0.2596473309028941
LNPEP,37.35753826115272,26.997018607998356,-0.0457959478514377,0.9100551848486974
LOX,4.827417779225008,1.6757479181659298,,
LPAR1,0.8384890915011397,0.5962784003289812,,
LPAR2,5.161185281667209,6.322607175902128,0.0142200877997436,0.9816081129830144
LPAR3,0.4558775643112993,0.041122648298550425,,
LPAR4,1.709540866167372,0.40094582091086667,,
LPAR5,2.784109410615435,0.4420684692094171,,
LPAR6,9.81764897427548,2.4673588979130257,0.2003923271329636,0.8582646236646542
LPL,0.0325626831650928,0.041122648298550425,,
LRFN1,1.2048192771084338,1.2850827593297007,,
LRFN4,6.366004558775643,1.5626606353449162,0.3670749036937943,0.5312577278480506
LRIG1,0.5454249430153044,0.6888043590007197,,
LRIG2,9.068707261478346,6.48709776909633,-0.0529839162574058,0.9307017738496834
LRP1,0.48844024747639203,0.5448750899557931,,
